Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
SBIN,1107.85,2.55,1.55,20163978.0,58.5,10.5307,1066.14,1073.17,3.91,29.2,71.0,32.9,1234.7,False,,False,False,True,True,False,0.0,True,False,False,1085.69,1141.09,3.0,2.0,1.5,GOOD,70.8
JSWSTEEL,1274.5,2.76,2.07,2224565.0,65.4,14.1685,1196.2,1191.08,6.55,20.8,90.2,35.55,1284.7,True,,False,False,True,True,False,0.06,False,False,True,1249.01,1312.74,3.0,2.0,1.5,MODERATE,58.0
FEDERALBNK,294.35,0.2,1.44,7867566.0,61.8,2.8828,280.81,277.22,4.82,23.9,36.0,9.02,302.0,True,,False,True,True,True,False,-0.09,True,False,False,292.3,303.18,3.0,0.7,4.31,MODERATE,56.8
IRCTC,565.2,0.05,1.33,1359067.0,59.8,8.5177,541.33,562.88,4.41,22.5,86.7,16.21,808.77,False,,False,False,True,False,False,0.09,False,False,False,553.9,582.16,3.0,2.0,1.5,MODERATE,55.6
RECLTD,382.7,2.52,1.33,9031421.0,70.5,6.4101,346.07,343.7,10.59,18.3,89.8,12.87,425.03,False,,False,False,True,True,False,0.01,True,False,True,375.05,394.18,3.0,2.0,1.5,WEAK,49.0
M&M,3221.6,0.67,1.11,2884786.0,52.4,31.9029,3167.89,3258.69,1.7,17.9,80.9,98.86,3839.9,False,,False,False,True,False,False,0.21,True,False,False,3162.6,3318.25,3.0,1.83,1.64,WEAK,47.6
MGL,1137.75,1.07,1.45,379679.0,69.6,23.5179,1043.14,1055.31,9.07,26.2,67.4,39.83,1549.34,False,,False,False,True,True,False,0.34,True,False,True,1114.99,1171.88,3.0,2.0,1.5,WEAK,46.8
BERGEPAINT,483.95,3.28,1.21,333272.0,70.1,7.8719,446.69,452.59,8.34,36.3,77.3,16.12,600.97,False,,False,False,True,True,False,0.29,False,False,True,474.27,498.47,3.0,2.0,1.5,WEAK,46.2
TATAPOWER,433.6,1.4,1.28,10228688.0,75.3,4.3541,402.86,390.87,7.63,17.8,65.1,12.32,438.5,True,Engulfing,False,False,True,True,False,-0.02,True,False,True,424.93,446.61,3.0,2.0,1.5,WEAK,42.8
BHEL,325.63,2.79,2.38,20916449.0,77.1,7.5059,279.27,269.45,16.6,24.3,49.6,12.05,333.79,True,,False,True,True,True,True,0.55,True,False,True,319.12,335.4,3.0,2.0,1.5,WEAK,39.7
ADANIPOWER,200.83,1.17,1.19,69021178.0,86.9,3.8981,171.5,158.35,17.1,30.7,33.9,7.48,207.5,True,,False,True,True,True,False,0.0,True,False,True,197.41,206.85,3.0,1.7,1.76,WEAK,37.4
