Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
APOLLOHOSP,8934.0,0.38,1.65,303809.0,68.7,1.7151,True,8712.21,8433.69,2.55,32.2,27.9,141.01,9009.0,True,,False,True,True,True,False,0.54,True,False,False,False,8905.0,9145.51,2.37,0.32,7.29,172,1536648.0,WEAK,38.4
ULTRACEMCO,11812.0,2.75,2.15,176132.0,59.1,24.2824,False,11512.86,11490.93,2.6,10.9,87.7,213.98,13110.0,False,,False,False,True,True,False,0.07,False,False,False,False,11598.02,12132.97,2.72,1.81,1.5,23,271676.0,WEAK,37.5
LUPIN,2493.0,0.96,1.19,691992.0,65.7,3.88,False,2427.66,2365.08,2.69,33.6,47.8,46.45,2526.9,True,,False,False,True,True,False,0.44,True,False,False,False,2477.5,2562.68,2.8,0.62,4.5,322,802746.0,WEAK,37.2
BANDHANBNK,216.52,4.16,2.66,8923006.0,59.4,0.7597,False,206.49,201.05,4.86,14.6,65.4,7.55,220.76,True,,False,False,True,True,False,0.42,False,False,False,False,212.19,223.02,3.0,2.0,1.5,1154,249864.08,WEAK,35.9
TORNTPHARM,5017.8,0.89,1.39,558777.0,81.6,28.0253,False,4756.0,4572.08,5.5,36.9,86.5,103.5,5033.4,True,,False,False,True,True,False,0.03,True,False,False,False,4918.1,5168.33,3.0,1.99,1.51,50,250889.99,WEAK,34.7
ICICIPRULI,525.15,4.21,4.78,1522918.0,60.9,4.2293,False,499.07,507.14,5.23,15.7,76.8,15.15,704.36,False,,False,False,True,False,True,0.55,False,False,False,False,514.65,540.9,3.0,2.0,1.5,476,249971.41,WEAK,34.2
BHEL,417.95,3.48,1.37,14411192.0,60.5,1.2254,True,398.21,385.96,4.96,19.3,71.9,13.93,424.9,True,,False,False,True,True,False,0.32,False,False,False,False,409.59,430.49,3.0,2.0,1.5,598,249934.11,WEAK,32.6
DIVISLAB,7273.0,1.18,1.73,420663.0,73.8,55.0313,False,6834.9,6704.33,6.41,28.6,40.6,152.66,7330.0,True,,False,False,True,True,True,0.99,True,False,True,False,7234.0,7491.19,3.0,0.54,5.59,128,930944.0,WEAK,32.4
BAJAJ.AUTO,10323.0,1.54,1.18,381485.0,58.6,53.0657,False,10087.84,10020.39,2.33,18.0,72.8,221.77,10750.0,True,,False,False,True,True,False,0.33,False,False,False,False,10200.0,10632.69,3.0,1.19,2.52,40,412920.0,WEAK,31.7
UNIONBANK,172.38,1.0,3.22,18876461.0,59.9,0.5341,False,166.02,165.86,3.83,17.3,41.9,4.84,199.6,False,,False,True,True,True,False,0.32,False,False,False,False,168.93,177.55,3.0,2.0,1.5,1449,249778.63,WEAK,26.9
ETERNAL,294.8,3.02,1.12,40204579.0,70.8,1.2932,False,276.65,264.55,6.56,35.2,87.7,8.49,368.45,False,,False,False,True,True,False,-0.4,False,False,True,False,288.9,303.64,3.0,2.0,1.5,847,249695.59,WEAK,24.8
SBICARD,640.35,0.23,1.63,1493628.0,62.0,4.6804,False,611.94,621.95,4.64,15.8,12.0,16.34,961.63,False,,False,True,True,False,False,0.73,False,False,False,False,638.55,659.56,3.0,0.28,10.67,2777,1778251.88,WEAK,24.1
HDFCAMC,2729.2,2.61,2.08,797264.0,53.7,-3.7449,False,2697.61,2651.6,1.17,13.1,59.3,76.51,2903.74,False,,False,True,True,True,True,0.82,False,False,False,False,2674.62,2811.08,3.0,2.0,1.5,91,248357.2,WEAK,23.3
EICHERMOT,7404.5,1.72,1.29,590396.0,52.1,-16.578,False,7371.02,7318.23,0.45,13.4,83.6,163.69,8230.0,False,,False,False,True,True,False,0.08,False,False,False,False,7285.0,7626.64,3.0,1.61,1.86,41,303584.5,WEAK,22.8
CHOLAFIN,1803.9,1.83,1.1,1374525.0,59.7,-8.0484,False,1761.37,1684.06,2.41,29.2,50.2,48.03,1875.0,True,,False,True,True,True,False,0.45,False,False,False,False,1779.5,1858.02,3.0,1.35,2.22,204,367995.6,WEAK,22.4
