Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
ONGC,275.95,2.13,0.31,59.6,-0.3218,269.03,262.78,31.1,96.2,7.55,293.0,False,,True,True,False,0.11,False,269.7,287.28,1.81,73.0
DMART,3932.0,0.54,0.12,56.3,2.1348,3840.74,3851.62,12.5,98.4,111.41,4949.5,False,,True,True,False,-0.28,False,3865.5,4099.12,2.51,73.0
LUPIN,2351.8,0.18,0.1,59.7,-1.4262,2305.57,2250.94,12.8,90.7,48.35,2377.6,True,,True,True,False,0.0,False,2323.4,2424.32,2.55,68.0
SUNPHARMA,1805.8,0.58,0.09,58.7,-3.4652,1773.38,1747.01,19.3,98.6,34.68,1843.0,True,,True,True,False,-0.58,False,1785.0,1857.81,2.5,68.0
TECHM,1419.0,0.75,0.15,51.4,19.0638,1394.87,1457.39,27.4,92.3,44.2,1854.0,False,,True,False,False,-0.96,False,1395.0,1485.3,2.76,55.5
DRREDDY,1296.4,-0.33,0.09,52.8,-3.0811,1286.9,1274.55,17.7,91.6,32.42,1371.0,False,,True,True,False,-0.28,False,1282.3,1345.03,3.45,55.5
ADANIPOWER,153.56,-0.06,0.09,60.2,0.7195,148.17,145.73,17.1,65.8,5.75,182.7,False,,True,True,False,-0.1,False,151.56,162.18,4.31,53.5
NHPC,77.7,0.65,0.17,58.5,0.3791,75.89,76.2,15.4,60.0,1.92,90.16,False,,True,True,False,0.0,False,76.83,80.59,3.32,53.5
HCLTECH,1399.9,1.35,0.22,50.7,15.4214,1377.42,1451.44,37.3,76.6,41.52,1780.1,False,,True,False,False,-0.31,False,1375.3,1462.18,2.53,49.5
NAUKRI,1011.9,1.39,0.06,46.4,13.3844,1004.95,1091.62,35.2,100.0,34.35,1540.07,False,,True,False,False,-0.9,False,983.6,1063.42,1.82,48.0
NTPC,378.65,0.07,0.07,53.4,-1.4583,376.92,366.85,15.9,67.1,8.74,394.5,True,,True,True,False,0.4,False,376.1,391.76,5.14,45.5
APOLLOHOSP,7545.0,-0.47,0.18,52.0,-25.3697,7502.67,7445.23,16.9,41.9,180.07,8088.76,False,,True,True,False,-0.93,False,7510.0,7815.1,7.72,40.5
TATAPOWER,389.3,-0.36,0.08,52.8,-0.694,387.56,381.65,14.0,67.6,12.16,418.45,False,,True,True,False,-0.18,False,384.6,407.54,3.88,40.5
NMDC,78.06,0.27,0.19,47.7,-0.1841,78.69,78.88,12.8,91.0,2.66,84.16,False,Hammer,True,True,False,-0.33,False,76.55,82.06,2.65,39.0
NESTLEIND,1204.4,0.02,0.13,41.1,-1.0566,1222.32,1249.9,30.4,95.6,26.03,1334.8,False,,True,False,False,0.0,False,1195.8,1243.44,4.54,35.0
WIPRO,190.26,0.64,0.16,33.9,0.6584,196.64,211.46,38.1,76.4,5.09,266.23,False,,True,False,False,0.0,False,187.9,197.89,3.23,34.5
