Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
COLPAL,2172.9,3.66,1.17,436521.0,64.1,12.1386,2070.47,2054.51,4.95,25.1,91.2,56.03,2688.8,False,Morning Star,False,False,True,True,True,0.67,True,True,False,2129.44,2238.09,3.0,2.0,1.5,GOOD,70.9
HAL,4559.5,5.09,4.39,647135.0,72.0,17.2519,4245.74,4147.3,7.39,25.9,88.8,108.4,5105.25,False,Morning Star,False,False,True,True,False,0.4,True,True,False,4468.31,4696.28,3.0,2.0,1.5,GOOD,70.3
EICHERMOT,7329.0,3.09,1.56,439876.0,56.4,21.4258,7133.27,7171.16,2.74,12.8,93.0,191.3,8230.0,False,Morning Star,False,False,True,True,False,0.0,True,True,False,7182.42,7548.87,3.0,2.0,1.5,MODERATE,67.6
DIVISLAB,6619.5,1.8,1.31,283489.0,70.4,46.2978,6311.93,6236.72,4.87,27.3,84.7,140.05,7039.45,False,,False,False,True,True,False,0.08,True,True,False,6487.11,6818.09,3.0,2.0,1.5,MODERATE,63.7
APOLLOHOSP,7737.5,1.32,0.89,367741.0,55.9,6.6582,7641.95,7545.39,1.25,10.4,55.1,163.52,8088.76,True,Morning Star,False,False,True,True,True,0.82,True,True,False,7673.0,7969.62,3.0,0.83,3.6,MODERATE,57.8
RELIANCE,1463.1,2.26,1.17,20576502.0,66.3,14.3951,1385.06,1390.42,5.63,21.0,87.4,31.62,1611.8,False,,False,False,True,True,False,0.18,True,True,False,1433.84,1506.99,3.0,2.0,1.5,MODERATE,57.2
CIPLA,1335.0,1.94,0.51,2133118.0,65.7,13.4971,1276.07,1290.5,4.62,32.4,89.9,28.09,1673.0,False,,False,False,True,True,True,0.79,True,True,False,1313.6,1375.05,3.0,1.6,1.87,MODERATE,57.2
LUPIN,2348.8,1.89,1.36,961534.0,57.2,-0.5034,2315.07,2287.42,1.46,8.6,77.3,52.59,2381.0,True,,False,False,True,True,True,0.64,True,True,False,2304.1,2419.26,3.0,1.9,1.58,MODERATE,56.9
SIEMENS,3834.1,0.68,1.96,414742.0,69.1,7.5523,3635.84,3423.16,5.45,36.2,12.8,111.36,3930.0,True,,False,True,True,True,False,1.1,True,True,False,3820.0,3949.12,3.0,0.37,8.16,WEAK,54.7
TORNTPHARM,4251.8,1.59,0.85,289293.0,56.1,13.3036,4180.52,4162.7,1.7,14.2,57.9,90.93,4482.9,False,Morning Star,False,False,True,True,True,0.91,True,True,False,4213.0,4379.35,3.0,0.91,3.29,WEAK,54.6
