Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Entry_Price,Limit_Buy,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
DABUR,487.7,3.77,6.25,1898541.0,68.4,4.7605,False,453.78,458.4,7.47,26.7,86.9,12.22,573.97,False,,False,False,True,True,True,3.19,True,False,False,False,488.43,489.16,477.95,512.09,4.84,2.15,2.26,477,232981.11,WEAK,47.2
ASIANPAINT,2599.9,2.74,2.16,1079441.0,69.6,5.8003,False,2455.24,2418.59,5.89,27.5,91.8,62.23,2985.7,False,,False,False,True,True,False,0.37,False,False,False,False,2603.8,2607.7,2547.9,2729.89,4.84,2.15,2.26,89,231738.2,WEAK,42.1
APOLLOHOSP,8097.0,3.32,2.43,379787.0,69.3,25.3819,False,7720.77,7596.86,4.87,13.9,94.0,152.77,8115.0,True,,False,False,True,True,False,0.0,False,False,False,False,8109.15,8121.29,7944.23,8478.92,4.56,2.03,2.24,30,243274.5,WEAK,42.1
COLPAL,2197.4,1.4,0.44,622160.0,65.1,8.1033,False,2105.28,2072.39,4.38,27.0,82.5,52.11,2688.8,False,Morning Star,False,False,True,True,False,-0.27,True,False,False,False,2200.7,2203.99,2157.3,2307.27,4.84,1.97,2.46,115,253080.5,WEAK,39.6
HDFCAMC,2854.0,0.68,0.68,1525948.0,64.9,5.889,False,2724.02,2644.39,4.77,25.4,67.8,76.54,2967.25,True,Morning Star,False,False,True,True,False,-0.52,False,False,False,False,2858.28,2862.56,2815.3,2996.7,4.84,1.5,3.22,116,331560.48,WEAK,35.9
CONCOR,534.75,1.53,0.84,1339616.0,70.8,1.7748,False,506.99,494.3,5.48,36.1,82.4,11.65,641.23,False,Engulfing,False,False,True,True,False,-0.01,False,False,False,False,535.55,536.35,524.25,561.49,4.84,2.11,2.3,442,236713.1,WEAK,34.6
TITAN,4509.0,4.68,4.69,1019674.0,60.4,-13.2169,False,4383.18,4296.66,2.87,12.7,75.5,119.1,4605.0,True,,False,False,True,True,False,0.15,False,False,False,False,4515.76,4522.53,4418.82,4734.45,4.84,2.15,2.26,51,230303.76,WEAK,34.3
MARICO,831.3,-0.1,0.79,1893189.0,74.3,6.4003,False,787.04,772.04,5.62,24.6,54.4,18.36,843.15,True,,False,False,True,True,False,0.0,True,False,False,False,832.55,833.79,825.1,872.86,4.84,0.89,5.41,671,558641.05,WEAK,33.8
GRASIM,2968.6,0.27,0.46,1103976.0,73.3,21.4006,False,2814.09,2771.19,5.49,20.8,75.6,61.89,2980.4,True,,False,False,True,True,False,0.0,False,False,False,False,2973.05,2977.51,2932.1,3117.03,4.84,1.38,3.52,122,362712.1,WEAK,33.4
BERGEPAINT,515.75,5.63,5.87,341113.0,75.6,2.9893,False,470.41,462.58,9.64,26.4,81.7,14.77,600.97,False,,False,False,True,True,False,0.36,False,False,False,False,516.52,517.3,505.44,541.54,4.84,2.15,2.26,451,232950.52,WEAK,33.4
FEDERALBNK,297.25,0.07,0.73,8406818.0,61.9,0.1692,True,289.61,283.71,2.64,16.0,82.9,7.56,302.0,True,,False,False,True,True,False,-0.02,False,False,False,False,297.7,298.14,291.45,312.11,4.84,2.1,2.31,800,238160.0,WEAK,32.2
DIVISLAB,6710.5,0.12,0.48,322801.0,73.5,38.9334,False,6437.87,6304.11,4.23,34.0,42.3,131.86,7039.45,True,Engulfing,False,False,True,True,False,-0.04,False,False,False,False,6720.57,6730.63,6675.0,7040.15,4.76,0.68,7.01,109,732542.13,WEAK,32.2
PIDILITIND,1476.0,1.77,5.82,943852.0,67.7,9.5936,False,1393.46,1393.58,5.92,17.1,13.3,35.32,1574.95,False,,False,True,True,True,False,3.67,False,False,False,False,1478.21,1480.43,1470.0,1549.8,4.84,0.56,8.72,609,900229.89,WEAK,28.7
MGL,1172.9,-0.58,0.72,498986.0,68.3,3.7824,False,1121.01,1092.69,4.63,33.1,86.9,34.07,1549.34,False,,False,False,True,True,False,-3.37,False,False,False,False,1174.66,1176.42,1149.44,1231.55,4.84,2.15,2.26,198,232582.68,WEAK,28.4
ICICIPRULI,567.25,0.77,1.24,1321004.0,60.0,6.4114,False,542.29,562.82,4.6,22.2,66.4,16.13,706.8,False,,False,False,True,False,True,0.54,False,False,False,False,568.1,568.95,557.85,595.61,4.84,1.8,2.68,487,276664.7,WEAK,28.3
TORNTPHARM,4380.8,0.41,0.34,346001.0,64.6,27.0664,False,4235.83,4189.78,3.42,19.2,71.5,89.6,4482.9,True,,False,False,True,True,False,-0.29,False,False,False,False,4387.37,4393.94,4336.7,4599.84,4.84,1.15,4.19,98,429962.26,WEAK,27.5
HINDUNILVR,2287.7,0.68,0.49,2236989.0,54.3,-1.0955,False,2265.88,2249.98,0.96,25.1,76.8,62.13,2728.55,False,,False,False,True,True,False,0.0,True,False,False,False,2291.13,2294.56,2256.0,2402.08,4.84,1.53,3.16,142,325340.46,WEAK,27.0
SUNPHARMA,1847.9,0.74,0.68,4204195.0,65.7,16.6554,False,1770.65,1746.39,4.36,23.7,74.9,42.62,1857.8,True,,False,False,True,True,False,-0.68,False,False,False,False,1850.67,1853.44,1819.2,1940.3,4.84,1.7,2.85,158,292405.86,WEAK,26.8
LUPIN,2379.5,-3.28,3.34,959836.0,56.1,10.3056,False,2345.3,2305.76,1.46,12.7,24.9,59.12,2494.0,True,,False,True,False,True,False,-1.43,False,False,False,False,2383.07,2386.64,2347.9,2498.47,4.84,1.48,3.28,142,338395.94,WEAK,26.3
IDFCFIRSTB,71.27,1.25,0.81,25943580.0,61.0,0.3356,False,68.57,69.35,3.93,21.1,88.3,1.81,87.0,False,,False,False,True,False,False,0.0,False,False,False,False,71.38,71.48,69.91,74.83,4.83,2.06,2.35,3401,242763.38,WEAK,25.8
PAYTM,1187.1,-0.86,1.94,1821348.0,61.9,3.478,False,1124.72,1118.93,5.55,19.3,7.7,40.3,1381.8,False,,False,True,False,True,False,-0.2,False,False,False,False,1188.88,1190.66,1184.1,1246.45,4.84,0.4,12.04,1046,1243568.48,WEAK,25.2
BAJAJ.AUTO,10711.5,1.0,1.11,337410.0,73.8,97.399,False,9919.28,9656.53,7.99,26.3,70.0,260.23,10785.0,True,,False,False,True,True,False,0.19,False,False,True,False,10727.57,10743.63,10540.0,11247.08,4.84,1.75,2.77,26,278916.82,WEAK,25.1
PETRONET,283.8,0.6,0.4,4884650.0,58.3,1.1874,False,277.1,277.34,2.42,8.1,66.4,7.88,326.4,False,Engulfing,False,False,True,True,False,0.0,False,False,False,False,284.23,284.65,278.95,297.99,4.84,1.86,2.61,946,268881.58,WEAK,23.8
ETERNAL,256.39,-0.4,0.38,46415432.0,55.8,0.1543,False,251.28,251.9,2.03,12.3,79.0,8.62,368.45,False,,False,False,True,False,False,-0.63,False,False,False,False,256.77,257.16,252.6,269.21,4.84,1.62,2.98,1199,307867.23,WEAK,23.7
TMPV,355.45,-1.06,0.38,12071571.0,56.3,0.3551,False,347.62,346.01,2.25,21.9,46.7,10.18,419.0,False,,False,False,False,True,False,-0.9,False,False,False,False,355.98,356.52,353.7,373.22,4.84,0.64,7.56,2192,780308.16,WEAK,23.3
NESTLEIND,1482.4,0.43,0.93,1585542.0,78.5,5.5859,False,1402.33,1331.98,5.71,53.3,47.1,29.87,1496.3,True,,False,True,True,True,False,0.04,True,False,False,False,1484.62,1486.85,1470.0,1556.52,4.84,0.98,4.92,341,506255.42,WEAK,22.8
RELIANCE,1435.2,-0.07,0.54,15977108.0,59.0,8.4914,False,1403.9,1398.16,2.23,22.0,70.0,30.74,1611.8,False,,False,False,True,True,False,-0.71,False,False,False,False,1437.35,1439.51,1417.5,1506.96,4.84,1.38,3.51,251,360774.85,WEAK,22.6
