Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
DIVISLAB,9315.0,2.36,0.98,514091.0,69.4,-8.7116,False,8848.42,8183.81,5.27,66.6,100.0,192.99,9467.0,True,Marubozu,True,False,True,True,False,0.21,True,False,False,False,9128.7,9594.45,3.0,2.0,1.5,26,242190.0,WEAK,48.1
SBICARD,674.65,2.49,0.6,4619239.0,61.5,2.0026,False,648.64,642.45,4.01,20.0,100.0,19.58,961.63,False,Engulfing,False,False,True,True,False,-0.78,False,False,False,False,661.16,694.89,3.0,2.0,1.5,370,249620.51,WEAK,40.3
GAIL,176.0,1.5,1.45,6847441.0,54.5,0.1656,False,173.71,172.6,1.32,14.2,71.1,3.55,181.85,True,Engulfing,False,False,True,True,False,0.0,False,False,False,False,172.8,181.28,3.0,1.82,1.65,1562,274912.0,WEAK,36.7
PAYTM,1664.0,0.27,0.47,3850127.0,61.1,-12.4039,False,1609.57,1476.31,3.38,41.0,80.6,53.75,1732.3,True,,False,False,True,True,False,0.01,False,False,False,False,1642.0,1713.92,3.0,1.32,2.27,227,377728.0,WEAK,34.6
COALINDIA,418.85,0.84,1.01,13400495.0,65.4,3.0184,False,406.23,412.01,3.11,25.0,79.3,7.38,478.71,False,,False,False,True,True,False,0.3,False,False,False,False,413.3,429.91,2.64,1.33,1.99,900,376965.01,WEAK,33.6
IDFCFIRSTB,86.44,-0.31,0.62,17079487.0,56.9,-0.0182,False,85.27,82.9,1.37,31.8,60.7,1.64,88.5,True,,False,False,True,True,False,-0.48,False,False,False,False,85.9,88.89,2.83,0.62,4.54,9259,800347.98,WEAK,30.3
UNIONBANK,186.04,-0.63,1.36,8804363.0,55.3,-0.5201,False,184.73,179.01,0.71,35.4,54.1,4.54,199.6,False,,False,True,False,True,False,-0.38,False,False,False,False,183.2,191.62,3.0,1.53,1.96,1760,327430.39,WEAK,25.8
LICHSGFIN,552.0,-1.79,0.34,4696521.0,65.6,6.5777,False,527.23,523.63,4.7,31.2,20.4,13.81,586.43,False,,False,True,False,True,False,0.2,False,False,False,False,548.0,568.56,3.0,0.72,4.14,1250,690000.0,WEAK,24.1
KOTAKBANK,422.1,-0.57,0.48,14920743.0,65.5,1.4071,False,410.9,400.52,2.73,47.1,23.4,7.07,452.42,False,,False,True,False,True,False,-0.64,False,False,False,False,421.0,432.71,2.51,0.26,9.65,4545,1918444.53,WEAK,24.1
PETRONET,290.95,0.99,1.03,1680864.0,54.7,-0.4937,False,288.64,283.95,0.8,31.0,50.0,6.01,322.68,False,Engulfing,False,True,True,True,False,0.0,False,False,False,False,288.1,299.68,3.0,0.98,3.06,1754,510326.32,WEAK,23.9
ICICIBANK,1427.5,0.3,0.9,8930525.0,51.4,-1.0691,False,1426.67,1407.2,0.06,15.8,41.5,21.25,1467.63,True,,False,False,True,True,False,0.34,False,False,False,False,1422.6,1459.38,2.23,0.34,6.51,1020,1456050.0,WEAK,21.9
GRASIM,3302.4,-0.59,0.98,1201692.0,54.3,-4.1729,False,3284.11,3216.52,0.56,22.9,27.1,68.32,3411.1,True,,False,False,False,True,False,0.0,False,False,False,False,3293.0,3401.47,3.0,0.28,10.54,531,1753574.35,WEAK,21.9
TORNTPHARM,4914.0,1.17,0.78,294767.0,48.6,-11.9369,False,4943.73,4868.91,-0.6,14.8,98.9,111.78,5250.0,False,,False,False,True,True,False,0.0,True,False,False,False,4823.0,5061.42,3.0,1.85,1.62,54,265356.0,WEAK,20.7
CHOLAFIN,1848.2,0.5,0.89,986080.0,50.0,-7.8544,False,1853.25,1815.48,-0.27,13.1,100.0,44.72,1952.5,False,Engulfing,False,False,True,True,False,-0.02,False,False,False,False,1811.24,1903.65,3.0,2.0,1.5,135,249506.99,WEAK,19.7
HAL,4855.2,-0.02,1.01,596574.0,53.3,-28.3238,False,4845.17,4724.56,0.21,20.5,26.6,98.51,5149.9,False,,False,True,True,True,False,0.59,False,False,False,False,4835.4,5000.86,3.0,0.41,7.36,252,1223510.45,WEAK,18.6
FEDERALBNK,342.0,-0.29,0.83,6241724.0,43.5,-1.7966,False,349.43,343.0,-2.13,27.3,81.5,7.43,370.43,False,,False,False,True,True,False,0.0,False,False,False,False,337.6,352.26,3.0,1.29,2.33,1136,388512.0,WEAK,17.8
APOLLOHOSP,8760.0,1.27,1.2,253820.0,49.2,-10.7366,False,8771.93,8718.55,-0.14,16.6,57.7,149.35,9039.48,True,,False,True,True,True,False,0.37,True,False,False,False,8650.0,8984.02,2.56,1.26,2.04,45,394200.0,WEAK,17.6
IGL,154.8,-2.05,0.45,2478368.0,56.2,0.8832,False,151.21,153.24,2.38,12.9,12.0,3.55,219.29,False,,False,True,False,False,False,-0.66,False,False,False,False,154.5,159.44,3.0,0.19,15.47,16666,2579896.85,WEAK,17.5
TMCV,459.65,0.32,0.51,8641732.0,51.1,-3.8276,False,461.38,445.94,-0.37,30.5,71.0,13.68,503.32,False,,False,False,True,True,False,0.17,False,False,False,False,454.15,473.44,3.0,1.2,2.51,909,417821.84,WEAK,17.1
SAIL,187.9,-4.52,0.9,35956620.0,54.9,0.654,False,186.0,179.57,1.02,22.2,6.2,7.02,209.7,False,,False,True,False,True,False,0.1,False,False,False,False,187.3,193.54,3.0,0.32,9.4,8333,1565770.65,WEAK,17.0
LT,3999.0,0.88,1.03,1219041.0,47.8,-13.7846,False,4016.18,4002.93,-0.43,14.6,86.6,53.05,4397.05,False,Engulfing,False,False,True,True,False,-0.05,False,False,False,False,3960.9,4078.58,1.99,0.95,2.09,131,523869.0,WEAK,16.8
TITAN,4995.0,-0.5,0.89,542381.0,49.6,-30.4368,False,5034.3,4861.28,-0.78,35.9,52.5,82.54,5186.7,True,,False,False,True,True,False,-0.2,False,False,False,False,4958.5,5118.81,2.48,0.73,3.39,136,679320.0,WEAK,15.9
BAJAJ.AUTO,11800.0,-1.0,0.4,267460.0,53.4,-40.316,False,11800.04,11330.46,-0.0,49.7,54.9,228.35,12470.0,False,,False,False,False,True,False,-0.91,False,False,False,False,11727.0,12142.52,2.9,0.62,4.69,68,802400.0,WEAK,14.7
JSWSTEEL,1302.0,-1.74,0.71,1789323.0,50.8,-2.0648,False,1305.0,1285.75,-0.23,31.4,2.9,25.88,1351.0,True,,False,True,False,True,False,0.7,False,False,False,False,1301.0,1340.82,2.98,0.08,38.82,5000,6510000.0,WEAK,14.5
CIPLA,1395.0,0.72,0.74,815878.0,40.2,-4.4647,False,1419.97,1422.72,-1.76,19.7,96.3,22.57,1657.45,False,,False,False,True,False,False,-0.36,True,False,False,False,1376.8,1428.86,2.43,1.3,1.86,274,382230.0,WEAK,14.4
BHARTIARTL,1854.0,0.76,0.94,6377749.0,42.5,-9.2004,False,1893.29,1897.93,-2.08,27.7,94.0,34.7,2147.47,False,,False,False,True,False,False,0.27,False,False,False,False,1830.4,1906.05,2.81,1.27,2.21,211,391194.0,WEAK,14.4
RELIANCE,1309.5,-0.95,0.84,12197822.0,51.0,0.6542,False,1306.33,1308.95,0.24,13.7,34.1,21.57,1604.38,False,,False,True,False,False,False,0.08,False,False,False,False,1301.9,1341.86,2.47,0.58,4.26,657,860341.5,WEAK,14.4
SUNPHARMA,1895.0,-0.21,1.01,1565660.0,43.9,-2.0634,False,1920.67,1911.36,-1.34,18.4,48.2,33.79,2046.9,False,,False,False,True,True,False,0.0,True,False,False,False,1883.1,1945.68,2.67,0.63,4.26,420,795900.0,WEAK,13.5
EICHERMOT,7672.0,0.54,0.95,490762.0,38.3,-67.3935,False,7873.75,7749.74,-2.56,31.9,50.0,146.39,8165.0,False,,False,False,True,True,False,0.36,False,False,False,False,7615.0,7891.58,2.86,0.74,3.85,87,667464.0,WEAK,13.5
HDFCBANK,710.5,-0.22,0.39,31486916.0,39.1,0.5101,False,721.15,740.78,-1.48,25.2,58.0,11.8,1003.9,False,,False,False,True,False,False,0.0,False,False,False,False,707.05,728.2,2.49,0.49,5.13,1449,1029514.5,WEAK,13.3
AXISBANK,1266.0,-0.55,0.34,4617152.0,52.5,4.2157,False,1257.37,1266.06,0.69,23.5,42.7,22.2,1417.21,False,,False,False,False,False,False,-0.16,False,False,False,False,1261.6,1299.29,2.63,0.35,7.57,1136,1438176.0,WEAK,12.5
PNB,115.6,-1.2,0.89,12432555.0,52.5,-0.3275,False,115.56,113.03,0.03,18.7,3.1,2.09,131.33,False,,False,True,False,True,False,-0.5,False,False,False,False,115.55,118.74,2.72,0.04,62.8,100003,11560346.65,WEAK,12.5
HINDPETRO,356.9,0.11,0.9,4303384.0,38.0,-1.1973,False,365.81,369.38,-2.44,13.8,100.0,7.15,483.54,False,Hammer,False,False,True,False,False,-0.42,False,False,False,False,349.76,367.61,3.0,2.0,1.5,700,249830.0,WEAK,12.5
BHEL,421.45,-2.24,0.57,7232988.0,50.4,-0.1592,False,423.12,412.59,-0.39,29.0,17.7,12.21,446.5,False,,False,True,False,True,False,0.42,False,False,False,False,418.55,434.09,3.0,0.69,4.36,1724,726579.82,WEAK,12.5
GODREJCP,861.9,-1.83,1.54,1717515.0,22.7,-2.8885,False,927.35,976.34,-7.06,46.5,21.9,21.91,1255.18,False,,False,True,False,False,False,0.06,False,False,False,False,857.1,887.76,3.0,0.56,5.39,1041,897237.93,WEAK,12.3
BANDHANBNK,164.7,-0.15,0.9,5791158.0,37.2,0.0207,True,169.4,177.51,-2.77,23.4,63.8,4.61,218.86,False,,False,False,True,False,False,0.0,False,False,False,False,161.67,169.64,3.0,1.84,1.63,1650,271754.99,WEAK,12.0
ADANIENT,2950.0,0.41,0.36,2748183.0,44.9,-11.3796,False,2990.3,2987.7,-1.35,22.6,68.6,76.26,3245.0,False,,False,False,True,True,False,0.07,False,False,False,False,2918.5,3038.5,3.0,1.07,2.81,158,466100.0,WEAK,11.1
ETERNAL,320.8,-0.6,0.25,50368512.0,54.0,-1.9635,False,321.5,306.11,-0.22,30.1,18.2,7.72,368.45,False,,False,True,False,True,False,0.93,False,False,False,False,319.7,330.42,3.0,0.34,8.75,4545,1458035.94,WEAK,10.4
ADANIPORTS,1694.3,-0.76,0.39,2999542.0,49.2,5.9455,False,1691.54,1716.0,0.16,23.2,27.5,37.1,1891.1,False,,False,True,False,False,False,0.39,False,False,False,False,1685.9,1745.13,3.0,0.5,6.05,595,1008108.53,WEAK,10.3
BERGEPAINT,484.5,-0.16,1.21,251870.0,34.3,-4.5283,False,505.9,509.78,-4.23,26.7,47.0,13.31,590.09,False,,False,True,True,False,False,0.02,False,False,False,False,480.55,499.04,3.0,0.82,3.68,1265,612892.5,WEAK,10.2
LUPIN,2105.0,-0.24,1.03,792384.0,25.5,-3.7625,False,2198.89,2270.4,-4.27,34.2,23.6,42.23,2523.7,False,,False,True,True,False,False,0.53,True,False,False,False,2095.6,2168.15,3.0,0.45,6.72,531,1117755.0,WEAK,10.2
NAUKRI,1302.5,-1.31,0.71,1206526.0,49.6,-11.8302,False,1319.51,1248.71,-1.29,33.0,48.4,36.86,1423.55,False,,False,True,False,True,False,-0.06,False,False,False,False,1284.4,1341.58,3.0,1.39,2.16,276,359490.0,WEAK,9.4
