Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,BTST_Score
XOM,165.33,1.27,0.47,70.9,0.5367,156.75,146.82,32.6,92.4,65.5
T,28.99,0.62,0.4,63.4,0.0331,28.13,26.86,22.0,43.6,45.5
NFLX,93.71,1.55,1.26,55.7,-0.6345,92.36,89.01,24.7,55.7,45.0
PFE,27.58,1.1,0.45,57.9,0.0028,27.06,26.55,15.6,60.2,45.0
MRK,118.98,-0.33,0.31,57.9,0.1636,116.69,114.6,14.9,22.9,45.0
CSCO,82.36,0.65,0.53,60.9,0.3854,79.36,78.52,15.7,41.4,40.5
VZ,50.77,0.79,0.62,60.1,-0.2882,50.07,46.77,35.1,42.1,40.0
CVX,208.2,1.48,0.39,78.9,0.6274,196.82,183.72,49.7,74.9,35.5
TJX,158.41,-0.83,0.54,53.5,0.1076,157.07,155.64,15.0,47.7,33.0
BMY,59.33,0.67,0.21,50.8,-0.2399,59.15,58.16,18.0,79.9,31.5
LIN,498.03,1.16,0.55,58.8,-1.201,487.9,472.21,18.7,72.9,30.0
ACN,195.96,1.91,0.24,38.4,1.2752,203.13,228.45,35.9,75.3,29.5
DHR,188.01,0.46,0.49,32.9,0.453,195.11,210.01,46.2,75.3,29.5
CI,271.77,0.52,0.37,50.0,0.5255,270.1,274.28,33.9,59.0,28.0
AMD,204.48,-7.17,1.25,49.5,2.0909,203.99,212.14,13.9,3.3,28.0
JNJ,240.09,0.07,0.38,53.1,-1.009,239.33,232.3,20.0,42.8,27.5
DUK,129.18,0.79,0.4,51.9,-0.7903,129.17,125.04,21.9,65.1,27.5
MDLZ,57.63,0.36,0.42,49.7,0.0759,57.43,57.61,12.7,9.1,25.5
META,549.22,-7.68,2.08,25.6,-7.0699,617.18,636.7,23.8,14.8,25.0
V,304.65,-0.09,0.6,39.0,0.1851,309.03,319.61,32.7,33.9,25.0
SHW,319.76,-0.68,0.65,41.1,0.1173,326.1,338.81,38.2,24.6,25.0
WFC,78.94,-1.64,0.46,43.4,0.675,79.66,84.66,33.0,13.4,20.5
QCOM,130.9,0.43,0.47,38.0,0.4792,133.52,143.72,40.5,62.6,20.5
ADP,203.93,0.9,0.36,36.6,0.1535,210.83,225.49,26.8,31.2,20.5
IBM,241.75,0.15,0.34,40.5,0.5341,249.1,267.2,26.0,28.4,20.5
AXP,297.83,-0.8,0.41,35.6,1.7932,306.38,330.57,39.2,29.2,20.5
JPM,291.73,-1.25,0.37,45.9,1.4049,292.55,301.84,28.4,23.6,20.5
MA,500.48,-0.45,0.7,42.3,0.748,506.42,523.83,27.0,24.9,20.5
BAC,48.28,-0.97,0.49,44.0,0.2709,48.57,50.89,33.3,29.6,20.5
TMO,489.72,-0.21,0.32,43.7,4.0924,492.04,533.22,43.5,37.4,20.5
BSX,70.35,0.81,0.74,40.7,0.5213,71.45,79.04,43.1,52.5,20.5
BLK,967.62,-1.4,0.45,40.5,4.8747,986.4,1036.56,33.0,5.8,20.5
ELV,293.4,-0.91,0.3,42.5,2.6013,297.67,322.47,34.2,11.9,20.5
TXN,193.79,-1.51,0.5,43.3,0.0975,196.77,199.83,24.8,8.1,20.0
ABBV,210.79,1.74,0.31,38.6,-1.7007,216.47,219.76,26.4,88.4,19.0
MCO,432.58,1.06,0.51,40.5,-0.022,442.92,467.62,29.9,77.5,19.0
REGN,758.51,1.21,0.29,49.8,-0.5439,755.93,762.07,15.5,76.9,16.5
INTU,433.33,1.52,0.44,45.1,1.2525,442.12,477.69,24.7,48.1,15.5
BKNG,4202.97,-0.82,0.84,42.6,9.853,4317.93,4576.1,23.2,20.7,15.5
MS,163.51,-1.29,0.44,47.0,1.3568,163.55,171.19,24.2,26.8,15.5
GS,820.46,-2.54,0.52,42.5,5.4458,835.03,877.42,24.3,15.2,15.5
AON,322.75,0.4,0.46,46.0,0.2459,325.15,331.55,17.2,28.2,10.5
AMZN,208.19,-1.66,0.78,45.2,0.3372,210.78,219.09,17.3,9.5,10.5
LRCX,212.96,-8.78,0.79,43.5,0.4619,225.34,223.35,14.4,10.1,10.5
ETN,359.02,-4.26,0.5,48.1,0.5585,362.37,355.78,13.6,13.5,10.5
KLAC,1455.23,-5.74,0.61,47.3,5.1018,1481.51,1463.65,11.7,7.7,10.5
SCHW,94.25,-0.78,0.51,45.8,0.3702,94.73,97.47,18.9,31.3,10.5
ISRG,470.22,0.05,0.44,35.4,-0.143,483.16,503.78,35.4,39.4,10.0
CL,84.37,-1.31,0.33,32.6,-0.876,88.73,88.38,34.5,1.1,10.0
PH,903.49,-1.96,0.53,40.2,-1.0406,928.09,938.79,26.8,12.8,10.0
UNH,267.95,-0.96,0.42,36.2,-0.6241,279.66,294.41,32.7,7.4,10.0
MCD,309.93,-0.57,0.43,34.9,-2.2921,318.5,316.79,25.0,16.2,10.0
HD,327.54,-1.49,0.5,32.7,-1.1089,343.26,357.46,36.5,12.7,10.0
TSLA,385.95,0.76,0.89,42.8,-0.5002,393.75,410.99,30.8,8.4,10.0
ADI,313.82,-2.55,0.47,44.1,-0.5023,319.53,315.86,27.9,2.0,10.0
BA,194.76,-2.43,0.46,31.8,-1.2988,210.21,223.72,35.1,12.3,10.0
ZTS,117.04,0.28,0.36,40.9,-0.1815,119.44,122.61,27.7,53.1,10.0
HON,226.26,0.21,0.44,42.0,-1.8471,230.92,226.93,32.1,43.4,10.0
DE,580.46,0.43,0.59,48.5,-2.9615,583.4,563.49,25.3,45.0,10.0
SPGI,412.46,0.98,0.52,37.1,-0.122,427.35,458.75,38.9,68.8,10.0
SYK,332.42,1.46,0.55,33.4,-2.5637,347.35,355.74,35.5,48.5,10.0
ADBE,240.37,1.31,0.42,33.2,-1.4311,254.88,274.25,38.8,62.9,10.0
MSFT,365.42,-1.51,0.86,24.9,-2.0977,390.88,415.07,32.2,2.2,10.0
PEP,150.95,-0.51,0.42,35.1,-1.2639,155.93,154.14,27.2,1.1,10.0
GOOGL,281.17,-3.35,1.06,28.1,-1.7329,301.71,312.41,29.6,28.3,10.0
PG,142.47,-1.01,0.27,29.5,-1.313,149.67,150.34,28.8,2.4,10.0
ABT,104.83,0.0,0.22,34.3,-0.3868,108.51,112.31,27.9,41.9,10.0
UNP,238.68,-1.1,0.44,37.8,-1.3694,244.99,242.86,41.5,9.8,10.0
GE,285.48,-3.74,0.58,33.3,-2.8101,305.69,311.31,32.7,24.7,10.0
LOW,235.07,-0.47,0.39,36.2,-0.1711,243.6,255.99,41.8,25.8,10.0
ICE,156.04,-0.5,0.39,41.5,-0.332,158.92,162.0,22.9,27.1,5.0
CEG,294.36,-2.95,0.73,44.8,-1.9376,303.69,304.77,20.5,50.1,5.0
KO,74.87,-0.5,0.4,39.4,-0.4392,76.34,75.11,22.6,2.5,5.0
COST,979.44,0.47,0.49,47.3,-4.0083,984.95,971.69,23.2,46.4,5.0
AAPL,253.41,0.31,0.65,43.6,-0.1942,255.65,259.19,24.6,42.3,5.0
AVGO,310.99,-2.45,0.44,40.8,-1.1718,323.01,328.54,21.8,15.3,5.0
LLY,900.76,-1.7,0.41,32.1,-5.6322,955.18,1001.85,22.2,9.7,5.0
MO,64.53,1.17,0.43,41.6,-0.5369,65.78,64.24,24.4,50.4,5.0
PANW,156.76,2.31,0.5,41.8,-0.6033,161.79,168.01,20.2,63.6,5.0
PLD,129.17,-0.91,0.4,38.3,-0.5598,132.5,132.28,24.0,10.3,5.0
NOW,103.97,0.89,0.6,37.1,-0.9058,111.01,117.65,20.1,62.9,5.0
AMGN,352.82,-0.32,0.32,41.7,-2.73,360.48,354.5,23.0,68.9,5.0
CMCSA,28.64,-0.31,0.26,34.7,-0.2361,29.82,29.71,20.6,3.8,5.0
SO,95.1,0.51,0.32,49.9,-0.6277,95.44,92.52,24.1,62.8,5.0
NEE,90.79,-0.41,0.42,48.9,-0.3906,91.31,88.71,21.5,15.7,5.0
CRM,184.73,1.52,0.51,38.9,-0.3742,192.83,206.47,19.6,65.5,0.0
ORCL,142.87,-2.16,0.49,38.8,-0.3053,151.95,161.91,14.7,4.6,0.0
WMT,122.32,-0.6,0.38,46.8,-0.384,123.33,122.19,15.9,21.3,0.0
BRK-B,475.12,-0.22,0.46,33.6,-1.7151,486.41,490.18,16.4,16.0,0.0
NVDA,172.14,-3.66,0.77,39.4,-0.719,179.8,182.95,19.7,11.9,0.0
RTX,191.75,-1.67,0.5,36.9,-1.8228,200.11,198.37,17.8,11.1,0.0
UBER,70.6,-3.39,0.61,39.5,-0.1848,74.16,76.79,16.4,15.6,0.0
AMAT,340.33,-7.85,0.79,45.4,-0.4784,353.44,338.04,13.8,5.5,0.0
CAT,702.22,-2.34,0.59,47.9,-0.9607,708.23,690.91,16.3,26.2,0.0
GILD,137.11,-0.83,0.28,37.2,-1.2387,141.92,139.17,19.3,2.9,0.0
APH,123.39,-4.15,0.56,37.3,-0.5736,132.93,139.15,16.9,17.1,0.0
CB,324.33,0.35,0.44,46.5,-1.1172,326.64,320.9,16.5,32.2,0.0
VRTX,455.08,0.02,0.49,44.5,-2.2456,463.55,465.02,12.9,70.6,0.0
CME,298.55,1.57,0.59,44.0,-2.7327,305.0,293.86,17.4,66.0,0.0
