Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
PFE,27.77,2.7,0.85,58.4,0.0295,27.13,26.7,15.7,93.2,0.64,27.94,True,,True,True,True,1.41,True,27.15,28.73,1.55,98.0
T,28.78,-1.1,0.52,59.3,0.0451,28.27,27.41,22.3,9.3,0.63,29.44,True,,False,True,False,0.38,True,28.72,29.73,15.83,70.5
VZ,50.3,-0.02,0.53,55.7,-0.2592,50.11,47.91,33.0,19.0,0.99,51.68,True,,True,True,False,1.11,True,50.15,51.79,9.93,70.0
SO,96.93,1.44,0.94,57.8,-0.3306,95.62,93.78,21.7,54.5,1.69,99.58,True,,True,True,True,1.17,True,96.14,99.47,3.22,70.0
DUK,131.71,1.32,0.59,60.3,-0.372,129.5,126.8,20.7,39.2,2.22,134.49,True,,True,True,True,1.12,True,131.07,135.04,5.2,70.0
MO,67.02,0.81,0.58,56.3,-0.1308,65.98,65.04,20.0,79.4,1.36,70.51,True,,True,True,True,0.62,False,66.25,69.07,2.66,67.0
PEP,156.82,2.47,1.36,51.1,-0.3455,155.78,155.71,25.3,69.0,3.29,169.96,False,,True,True,True,0.63,False,153.53,161.75,1.5,65.5
LIN,499.26,1.66,0.84,59.1,-0.4243,489.06,476.84,16.7,50.2,10.44,508.94,True,,True,True,True,0.79,True,494.85,514.92,3.55,65.0
JNJ,242.49,0.85,0.55,57.7,-0.3418,239.7,234.2,17.9,53.5,4.11,251.71,True,,True,True,True,1.26,True,240.51,248.65,3.11,65.0
XOM,171.47,0.28,1.13,76.7,1.0734,159.41,149.55,36.4,7.9,4.28,176.4,True,,True,True,True,0.89,False,171.05,177.89,15.29,63.5
CVX,210.71,-0.21,0.54,79.6,0.7257,199.35,187.07,48.4,9.5,4.22,214.71,True,,True,True,False,1.0,False,210.29,217.04,15.07,58.5
MRK,118.1,-1.28,0.75,54.5,0.2743,117.06,114.57,15.9,19.9,2.75,124.22,True,,False,True,False,0.78,True,117.22,122.23,4.69,58.0
COST,996.58,1.29,1.31,55.4,-1.1865,986.13,976.07,19.0,56.5,17.56,1062.65,False,,True,True,False,0.32,False,985.01,1022.93,2.28,58.0
NEE,92.05,0.71,0.98,54.1,-0.1922,91.43,89.65,20.0,37.3,2.05,95.26,True,,True,True,True,1.43,True,91.5,95.12,5.58,57.5
BMY,59.73,2.03,1.03,53.2,-0.0828,59.15,58.22,16.9,66.3,1.33,62.89,False,,True,True,True,1.9,True,59.08,61.73,3.08,55.5
BSX,62.93,-9.02,3.2,25.7,0.0394,70.42,76.52,41.2,37.7,2.38,109.5,False,,False,False,False,-7.19,True,61.24,66.51,2.12,47.5
MDLZ,58.25,-0.03,0.82,53.2,0.2221,57.58,57.78,14.0,3.4,1.42,69.94,False,,True,True,False,0.5,False,58.21,60.38,53.25,46.0
WMT,123.5,0.5,0.9,50.3,-0.1018,123.3,122.26,14.6,17.0,2.78,134.41,False,,True,True,True,0.63,False,123.14,127.67,11.58,45.5
VRTX,443.16,2.33,1.29,41.6,-2.9142,458.89,462.55,13.5,95.7,13.69,510.77,False,,True,False,True,1.31,True,432.14,463.69,1.86,45.0
ACN,197.55,2.57,0.33,42.1,1.2473,201.72,218.76,32.9,76.4,8.51,324.09,False,,True,False,True,1.25,False,194.25,210.32,3.87,42.5
TMO,480.05,1.41,0.59,41.2,2.9781,489.2,516.1,41.5,62.5,14.39,643.35,False,,True,False,True,1.07,True,474.16,501.64,3.67,40.5
META,536.38,2.03,1.29,27.3,-9.5718,601.51,628.92,26.8,71.2,19.73,794.38,False,,True,False,True,2.03,True,528.54,565.98,3.78,40.0
CME,297.58,1.29,0.58,44.6,-2.6394,303.29,297.08,21.8,81.6,6.2,321.47,False,,True,True,True,1.18,False,293.86,306.88,2.5,40.0
MA,494.0,2.02,0.64,42.1,0.0202,503.23,518.13,24.0,82.0,11.79,600.08,False,,True,False,True,0.78,False,487.0,511.68,2.53,39.0
DHR,183.89,1.31,0.74,32.4,0.0233,192.86,203.93,44.9,53.8,5.14,242.8,False,,True,False,True,1.16,True,181.75,191.6,3.6,37.5
SHW,315.9,0.17,0.84,39.1,0.6518,324.19,335.11,34.8,12.6,9.06,377.93,False,,True,False,True,0.99,True,315.0,329.49,15.1,37.5
LOW,232.58,0.99,0.62,36.2,0.2155,241.51,251.32,40.4,47.1,6.53,293.06,False,,True,False,True,1.06,False,231.12,242.38,6.71,35.0
NFLX,92.97,-0.49,0.75,53.5,-0.5549,92.48,91.33,24.7,33.0,2.76,134.12,False,,False,False,False,-0.72,True,92.22,97.12,5.53,34.5
GILD,136.34,1.56,0.81,38.8,-1.0447,140.75,139.87,20.8,89.4,3.35,156.4,False,,True,True,False,0.24,True,133.89,141.36,2.05,34.0
AON,324.06,3.32,0.57,48.9,0.0555,324.11,329.68,15.9,86.4,8.72,399.35,False,,True,False,True,0.89,False,315.66,337.15,1.56,34.0
HON,223.48,0.16,0.78,39.2,-1.4025,229.48,227.71,30.8,23.3,5.12,248.18,False,,True,True,True,1.18,False,222.61,231.16,8.83,33.0
ISRG,452.77,0.03,1.43,28.2,-2.0942,477.38,495.22,32.3,28.7,12.82,603.88,False,,True,False,False,0.09,True,450.27,472.01,7.68,32.0
SPGI,417.59,2.79,0.74,43.1,-0.2334,424.55,445.3,34.3,86.8,12.02,575.57,False,,True,False,True,1.15,False,408.95,435.61,2.09,32.0
V,299.54,1.36,0.76,37.9,-0.2266,306.97,316.11,28.5,76.2,6.55,373.34,False,,True,False,True,1.09,False,295.89,309.36,2.69,32.0
BAC,47.23,0.55,1.03,39.6,0.1782,48.29,50.05,30.3,32.6,1.26,57.23,False,,True,False,True,1.23,False,46.93,49.12,6.3,30.5
AXP,297.49,1.79,0.75,38.7,1.5415,304.41,322.35,33.9,48.8,8.62,386.63,False,,True,False,True,0.82,False,293.7,310.42,3.41,30.5
BLK,934.06,0.02,0.66,34.4,1.3991,976.98,1017.4,30.4,14.6,29.83,1207.31,False,,True,False,True,0.6,False,930.78,978.81,13.64,30.5
JPM,283.77,0.33,0.5,38.5,0.439,290.8,297.86,26.8,29.3,7.11,335.87,False,,True,False,True,0.67,False,282.33,294.43,7.4,30.5
PANW,154.35,4.99,1.51,43.0,-1.2967,159.77,165.55,19.8,37.5,6.88,223.61,False,,True,False,True,3.35,False,151.46,164.68,3.57,30.0
ADP,205.47,2.1,0.59,41.5,0.1361,209.53,220.92,24.7,71.4,5.98,321.84,False,,True,False,True,0.96,False,202.5,214.44,3.02,30.0
MSFT,358.96,0.61,1.23,24.8,-2.9813,384.95,408.03,32.3,29.5,8.75,552.24,False,,True,False,True,1.44,False,356.28,372.08,4.9,30.0
ICE,156.94,2.8,0.59,46.2,-0.3487,158.2,160.13,24.6,90.7,3.82,187.65,False,,True,False,True,1.0,False,153.9,162.68,1.89,30.0
AMGN,349.0,0.07,0.81,39.2,-2.0502,358.44,356.6,21.7,23.5,8.08,391.29,False,,True,True,True,0.88,True,348.13,361.11,13.92,30.0
TJX,155.79,0.43,0.64,47.9,-0.1647,156.7,155.71,12.9,22.4,3.16,162.68,True,,True,True,True,1.26,False,155.25,160.52,8.76,28.0
ELV,284.79,-0.56,0.68,36.8,1.5542,295.47,311.58,31.7,22.7,9.51,449.16,False,,False,False,False,0.78,True,283.27,299.05,9.38,27.5
GS,807.6,0.59,0.61,40.3,3.114,829.73,855.56,24.6,34.1,27.52,979.54,False,,True,False,True,1.03,False,801.88,848.88,7.22,25.5
IBM,237.25,0.39,0.39,38.7,0.002,246.86,260.22,21.8,27.4,8.08,323.06,False,,True,False,True,0.62,False,236.13,249.37,10.82,25.5
PG,144.72,1.41,0.57,37.2,-0.7386,148.61,150.91,28.9,71.6,2.85,170.13,False,Morning Star,True,False,False,0.23,False,142.58,148.99,2.0,25.0
MCD,308.53,0.86,0.65,36.5,-1.8068,316.41,317.93,25.9,28.3,5.38,339.85,False,,True,False,True,0.92,False,307.64,316.6,9.07,25.0
ABBV,213.12,1.78,0.55,43.8,-0.6346,215.57,220.08,24.9,74.1,5.61,241.12,False,,True,False,True,1.37,True,210.78,221.54,3.6,25.0
INTU,429.03,3.02,0.81,45.3,-1.0565,438.45,467.79,21.7,76.5,21.07,810.72,False,,True,False,True,0.61,False,418.4,460.63,2.97,24.0
KO,76.27,0.74,0.87,49.5,-0.1888,76.28,75.67,20.2,43.1,1.26,81.44,False,,True,True,False,0.29,False,75.72,78.16,3.44,23.0
REGN,749.29,1.57,0.98,47.4,-0.3771,753.49,756.31,14.0,48.2,20.34,820.12,False,,True,True,True,0.83,False,741.47,779.81,3.9,23.0
CMCSA,28.9,2.01,0.51,40.5,-0.1701,29.61,29.7,21.8,61.2,0.78,33.43,False,,True,False,True,0.71,True,28.38,30.07,2.25,22.0
LLY,886.63,0.96,0.71,32.0,-5.5674,941.62,981.19,24.8,24.6,26.43,1132.06,False,,True,False,True,1.17,True,883.11,926.27,11.26,22.0
GOOGL,273.5,-0.31,1.11,24.9,-2.9599,296.65,304.68,32.7,27.9,7.63,348.75,False,,True,False,False,0.76,True,272.11,284.95,8.24,22.0
SCHW,93.06,0.76,0.53,43.1,0.1269,94.38,95.82,18.6,51.3,2.15,107.14,False,,True,False,True,0.68,False,92.37,96.28,4.67,20.5
WFC,76.8,-0.51,0.49,38.5,0.4561,79.16,82.74,28.0,18.0,2.31,97.28,False,,False,False,False,0.89,False,76.49,80.26,11.16,20.5
MS,158.37,-0.01,0.62,40.4,0.6456,162.58,167.26,22.6,28.6,5.32,191.62,False,,True,False,False,1.11,False,157.23,166.36,7.01,20.5
UNP,239.23,0.18,0.58,39.2,-0.6978,243.95,244.72,39.3,10.3,4.93,268.14,False,,True,False,True,1.2,False,238.86,246.63,20.0,20.0
GE,273.25,-3.38,1.27,28.7,-3.1915,300.52,308.88,33.3,17.7,10.39,347.97,False,,False,False,False,0.45,False,270.79,288.84,6.34,20.0
MCO,432.05,1.7,0.59,42.5,-0.1119,440.25,457.11,26.1,56.5,13.28,545.7,False,,True,False,True,0.97,False,427.32,451.97,4.21,20.0
CL,85.73,1.71,0.82,39.4,-0.5108,88.05,88.64,33.0,58.4,1.96,99.33,False,,True,False,True,1.46,False,84.41,88.68,2.23,20.0
ADBE,241.13,2.68,0.6,37.6,-1.0879,251.83,270.22,37.0,67.2,9.39,422.95,False,,True,False,True,0.83,False,236.73,255.21,3.2,20.0
PLD,128.78,-0.09,0.59,38.0,-0.4329,131.88,132.27,25.1,23.8,2.97,142.8,False,,True,False,False,1.4,False,128.11,133.23,6.64,20.0
CSCO,77.04,-3.6,0.87,43.9,0.0496,79.18,78.57,13.8,11.8,2.17,88.19,False,,False,True,False,-0.06,False,76.59,80.3,7.24,18.5
ADI,303.1,-1.41,1.07,37.8,-1.1731,316.91,314.79,30.6,18.9,9.8,362.07,False,,False,True,False,1.84,False,300.56,317.8,5.79,18.0
CI,258.08,-1.48,1.02,37.3,-0.1955,268.26,272.88,33.2,3.2,7.25,342.75,False,,False,False,False,0.79,True,257.86,268.96,49.46,17.0
SYK,326.1,-0.41,0.62,30.4,-1.9654,343.62,354.36,35.1,21.7,9.57,402.95,False,,False,False,False,0.69,True,324.48,340.45,8.86,17.0
BKNG,4117.51,1.36,1.31,41.1,-11.1432,4276.9,4461.78,19.8,59.4,152.96,5805.0,False,,True,False,False,0.07,False,4050.0,4346.95,3.4,15.0
CRM,185.03,3.19,0.72,42.2,-0.7673,190.92,201.82,15.6,80.0,7.89,294.59,False,,True,False,False,0.44,False,179.58,196.87,2.17,14.0
AMD,196.04,-2.95,1.18,44.7,0.7857,203.09,207.84,11.2,20.4,10.15,267.08,False,,False,False,False,1.3,False,192.87,211.26,4.8,10.5
TSLA,355.28,-1.81,1.06,31.8,-2.4975,385.68,403.01,27.4,20.7,13.6,498.83,False,,False,False,False,1.11,False,352.14,375.68,6.5,10.0
UBER,69.91,1.06,0.8,39.2,-0.4715,73.32,75.88,18.3,64.5,2.45,101.99,False,,True,False,True,0.77,False,68.84,73.59,3.44,10.0
BA,189.21,-0.69,0.75,29.1,-1.4079,206.48,217.09,37.5,31.2,6.68,254.35,False,,False,False,False,0.5,False,187.72,199.24,6.73,10.0
TXN,186.42,-2.05,0.85,36.3,-0.0502,195.23,197.86,27.1,19.0,5.93,231.32,False,,False,False,False,0.67,False,184.95,195.32,6.05,10.0
ABT,101.88,-2.03,0.62,28.7,-0.5067,107.43,111.5,28.0,2.0,2.38,137.13,False,,False,False,False,0.74,False,101.82,105.45,59.5,10.0
KLAC,1382.58,-4.2,0.95,41.0,-7.3429,1468.78,1441.89,14.7,8.2,70.75,1691.15,False,,False,True,False,1.79,False,1374.43,1488.7,13.02,8.0
AMAT,323.12,-4.17,0.85,39.7,-3.4889,349.06,336.76,15.8,10.2,17.19,395.95,False,,False,True,False,2.02,False,320.69,348.9,10.61,8.0
LRCX,199.93,-5.43,0.96,38.2,-2.0072,221.63,217.89,17.3,7.5,12.62,256.37,False,,False,True,False,1.49,False,198.6,218.86,14.23,8.0
CEG,298.61,-0.96,0.94,47.3,-1.383,302.97,307.78,17.3,24.1,14.51,411.68,False,,False,False,False,0.69,True,295.0,320.38,6.03,7.0
BRK-B,474.66,1.32,0.65,38.0,-1.7141,483.72,489.33,17.4,56.5,7.4,542.07,False,,True,False,False,0.47,False,470.73,485.75,2.82,5.0
AAPL,246.63,-0.87,0.9,35.6,-0.325,254.16,258.97,22.5,21.0,5.59,288.35,False,,False,False,False,0.48,False,245.51,255.02,7.49,5.0
NVDA,165.17,-1.4,0.99,34.0,-1.4282,177.27,181.2,22.5,17.4,5.56,212.17,False,,False,False,False,0.73,False,164.27,173.51,9.27,5.0
AVGO,293.41,-2.42,0.96,33.4,-2.826,318.13,326.97,21.6,23.3,12.65,413.82,False,,False,False,False,0.21,False,289.96,312.39,5.5,5.0
RTX,187.15,-1.35,0.74,32.5,-2.0465,198.07,197.24,22.7,22.0,5.13,214.5,False,,False,False,False,1.47,False,185.57,194.84,4.87,5.0
ORCL,138.8,-0.62,0.69,36.2,-1.1287,149.6,160.27,14.6,43.7,6.8,344.21,False,,False,False,False,0.27,False,136.95,149.01,5.52,0.0
APH,119.15,-3.62,0.78,34.4,-0.9328,130.82,136.03,18.1,11.2,6.53,167.04,False,,False,False,False,1.44,False,118.24,128.95,10.77,0.0
ETN,343.53,-3.87,0.94,39.9,-1.1007,360.04,358.04,14.3,7.0,13.58,407.18,False,,False,False,False,0.71,False,342.0,363.9,13.31,0.0
