Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Stop_Loss,Target,RR_Ratio,BTST_Score
PFE,28.55,1.67,0.85,65.0,0.1187,27.34,26.82,17.6,85.0,0.63,28.64,True,,False,False,True,True,True,0.68,True,True,28.04,29.5,1.86,82.5
TJX,162.03,1.46,0.92,61.1,0.3512,157.46,156.11,13.7,85.7,3.21,162.68,True,,False,False,True,True,False,0.48,True,True,160.0,166.85,2.37,77.5
BMY,61.73,1.78,0.48,61.9,0.2049,59.53,58.45,16.9,63.2,1.36,62.89,True,,False,False,True,True,True,0.92,True,True,60.88,63.76,2.39,73.5
SO,96.94,0.44,0.9,57.4,-0.1533,95.82,94.01,19.4,83.3,1.66,99.58,True,Engulfing,False,False,False,True,False,-0.45,True,True,95.94,99.44,2.5,70.0
CAT,730.32,3.09,0.79,56.1,1.0656,706.35,693.99,16.5,52.2,26.48,789.81,False,,False,True,True,True,True,1.91,True,True,719.74,770.04,3.75,66.3
PLD,133.33,0.87,1.01,52.5,0.1193,132.04,132.31,22.6,70.7,3.05,142.8,False,,False,False,True,True,False,-0.3,True,True,131.4,137.9,2.37,65.5
PH,920.77,2.85,0.64,49.4,0.5527,916.42,928.05,29.5,67.4,28.91,1034.96,False,,False,False,True,True,True,1.15,True,True,903.99,964.13,2.58,63.5
ADI,320.58,0.77,0.79,51.6,0.344,317.37,315.14,28.5,39.5,10.13,362.07,False,,False,True,True,True,False,0.0,True,True,317.21,335.78,4.51,59.9
LLY,954.52,3.78,2.08,50.2,2.3624,940.96,977.83,23.2,56.3,29.34,1132.06,False,,False,True,True,False,True,0.77,True,True,925.99,998.53,1.54,59.5
LIN,493.83,-0.39,0.83,54.7,-0.2741,490.09,478.22,14.7,89.7,10.08,508.94,True,,False,False,False,True,False,-0.59,True,True,488.49,508.94,2.83,59.5
GS,860.21,1.68,0.75,55.2,7.3116,834.04,855.39,22.0,50.2,28.17,979.54,False,,False,True,True,True,True,1.65,True,True,850.15,902.47,4.2,58.2
COST,996.56,0.01,1.03,55.4,0.5174,988.01,977.64,16.7,47.6,17.55,1062.65,False,,False,False,False,True,False,-0.14,False,True,990.59,1022.89,4.41,58.0
XOM,160.78,-5.23,1.36,54.2,0.2084,160.42,150.75,34.0,14.8,4.97,176.41,False,,False,True,False,True,False,-2.29,False,True,159.53,168.24,5.97,56.1
