Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
UNP,251.15,0.82,1.11,2704850.0,60.7,1.5033,245.29,245.1,2.39,29.3,75.7,4.77,268.14,False,Engulfing,False,False,True,True,False,-0.04,True,True,False,248.1,258.3,2.85,1.21,2.34,HIGH,105.5
HON,236.06,1.54,0.87,3683350.0,58.2,0.9687,229.58,228.11,2.82,25.3,96.1,5.44,248.18,True,,False,False,True,True,False,-0.77,True,True,False,231.34,243.14,3.0,2.0,1.5,HIGH,98.5
TJX,165.0,2.08,1.37,4095530.0,62.4,0.5998,159.1,157.09,3.71,14.4,84.5,3.4,165.82,True,,False,False,True,True,False,-0.5,True,True,False,161.7,169.95,3.0,2.0,1.5,HIGH,92.5
GE,313.02,1.61,0.94,5827810.0,56.8,3.1937,298.04,305.35,5.03,30.2,81.4,11.5,347.97,False,Engulfing,False,False,True,True,False,-0.67,True,True,False,306.76,322.41,3.0,2.0,1.5,HIGH,90.5
KO,78.18,1.15,0.99,14402370.0,59.3,0.2316,76.59,75.95,2.08,14.4,94.5,1.37,81.44,True,,False,False,True,True,False,-0.83,True,True,False,76.81,80.24,2.63,1.75,1.5,HIGH,88.5
WMT,129.13,1.47,0.83,16740120.0,60.6,0.5907,124.67,123.14,3.57,11.4,80.6,2.95,134.41,True,,False,False,True,True,False,0.03,True,True,False,126.82,133.0,3.0,1.79,1.68,HIGH,82.5
MO,67.46,0.99,0.73,9440140.0,61.1,0.1974,65.85,64.68,2.45,14.8,85.6,1.5,69.35,True,,False,False,True,True,False,-1.11,True,True,False,66.11,69.48,2.99,2.0,1.5,HIGH,82.5
APH,137.68,1.74,0.89,7648990.0,57.0,1.6059,130.7,134.46,5.34,18.5,87.8,5.92,166.71,False,Hammer,False,False,True,True,True,1.01,True,True,False,134.93,141.81,3.0,2.0,1.5,HIGH,81.5
BA,220.06,1.04,0.57,6399040.0,58.1,3.5155,209.2,215.64,5.19,27.0,74.9,7.03,254.35,False,Engulfing,False,False,True,True,False,-0.83,True,True,False,216.4,226.66,3.0,1.66,1.8,HIGH,81.5
JPM,310.33,0.77,0.64,9894040.0,67.2,3.0416,294.67,297.03,5.32,20.5,81.9,7.21,334.16,False,,False,False,True,True,False,-0.33,True,True,False,306.12,319.64,3.0,1.36,2.21,GOOD,77.5
