Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Entry_Price,Limit_Buy,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
BA,237.36,2.74,0.98,7683450.0,62.5,0.3671,True,225.92,222.27,5.06,15.8,82.6,6.7,254.35,False,,False,False,True,True,True,1.2,False,True,False,False,237.72,238.07,232.61,249.23,4.84,2.15,2.25,19,4516.68,WEAK,52.3
CI,288.06,1.42,0.86,1932838.0,58.4,0.2188,True,280.44,277.28,2.72,14.0,91.2,7.17,333.47,False,,False,False,True,True,True,0.57,False,True,False,False,288.49,288.92,283.8,302.46,4.84,1.63,2.98,21,6058.29,WEAK,51.0
BLK,1084.83,1.6,0.49,997862.0,63.2,1.5593,False,1047.62,1033.22,3.55,16.1,97.8,25.26,1207.31,False,,False,False,True,True,True,0.62,False,True,False,False,1086.46,1088.08,1067.0,1139.07,4.84,1.79,2.7,5,5432.3,WEAK,49.5
MS,193.09,1.54,0.85,6924638.0,64.0,-0.3486,False,186.43,179.23,3.57,33.6,86.5,4.57,194.83,True,,False,False,True,True,False,0.37,False,True,False,False,193.38,193.67,190.47,202.74,4.84,1.5,3.22,34,6574.92,WEAK,47.1
PLD,144.09,1.27,0.85,3845850.0,60.4,-0.0463,False,140.53,137.65,2.53,19.5,80.5,2.92,145.44,True,,False,False,True,True,False,0.48,True,True,False,False,144.31,144.52,142.36,151.29,4.84,1.35,3.58,51,7359.81,WEAK,43.8
UNH,379.98,2.77,0.58,11163800.0,80.4,0.3842,False,350.39,325.27,8.44,52.0,100.0,9.06,379.98,True,Marubozu,True,False,True,True,True,0.61,False,True,True,False,380.55,381.12,372.38,398.98,4.84,2.15,2.26,12,4566.6,WEAK,42.4
KLAC,1869.19,6.01,1.18,1091712.0,61.3,-9.8927,False,1761.05,1655.66,6.14,15.2,76.4,78.24,1939.36,True,,False,False,True,True,True,3.03,True,True,True,False,1871.99,1874.8,1831.81,1962.65,4.84,2.15,2.26,2,3743.98,WEAK,41.2
AVGO,430.0,4.23,0.8,28213812.0,65.9,-1.31,False,403.96,374.93,6.45,31.1,76.2,14.72,437.68,True,,False,False,True,True,True,1.75,True,True,True,False,430.65,431.29,421.4,451.5,4.84,2.15,2.25,10,4306.5,WEAK,41.2
GS,936.48,1.15,0.73,2267062.0,58.4,-1.4842,False,915.18,895.36,2.33,15.3,73.2,23.25,979.54,True,,False,False,True,True,True,1.09,False,True,False,False,937.88,939.29,927.46,983.3,4.84,1.11,4.36,9,8440.92,WEAK,39.9
AMD,455.19,11.44,1.46,39480050.0,80.8,10.4032,False,337.08,281.82,35.04,52.5,97.1,22.59,456.29,True,Marubozu,True,False,True,True,True,2.48,True,True,True,False,455.87,456.56,446.09,477.95,4.84,2.15,2.26,10,4558.7,WEAK,39.6
AAPL,293.32,2.05,0.99,53135162.0,72.9,1.9892,False,274.94,267.66,6.68,20.6,69.7,6.7,294.76,True,,False,False,True,True,True,0.89,True,True,True,False,293.76,294.2,290.0,307.99,4.84,1.28,3.78,26,7637.76,WEAK,39.2
ADI,416.52,1.96,0.94,3986662.0,70.5,1.1414,False,386.87,358.77,7.66,37.3,57.4,11.15,418.75,True,,False,False,True,True,False,2.32,True,True,True,False,417.14,417.77,413.52,437.35,4.84,0.87,5.58,27,11262.78,WEAK,39.2
AMZN,272.68,0.56,0.66,52507988.0,75.1,0.1615,False,258.22,241.27,5.6,42.8,67.4,6.99,278.56,True,,False,False,False,True,False,0.17,True,True,False,False,273.09,273.5,269.95,286.31,4.84,1.15,4.21,31,8465.79,WEAK,38.6
WMT,130.43,0.37,0.69,21998862.0,57.5,0.0022,False,128.73,126.27,1.32,11.7,15.5,2.43,134.16,True,,False,False,False,True,False,0.28,True,True,False,False,130.63,130.82,130.25,136.51,4.5,0.29,15.47,263,34355.69,WEAK,38.6
TSLA,428.35,4.02,0.97,66682575.0,69.9,5.0657,False,389.34,389.45,10.02,18.7,80.8,14.97,498.83,False,,False,False,True,True,True,1.14,True,True,True,False,428.99,429.64,419.78,449.77,4.84,2.15,2.26,10,4289.9,WEAK,37.9
UNP,264.65,-0.09,0.53,3394550.0,58.1,-0.0953,False,260.98,254.37,1.41,27.4,52.9,5.28,274.79,True,,False,False,False,True,False,-0.29,False,True,False,False,265.05,265.44,262.91,277.86,4.83,0.81,5.99,46,12192.3,WEAK,37.9
QCOM,219.09,8.17,1.75,21646588.0,85.8,6.9335,False,165.75,151.2,32.18,45.1,53.9,11.96,228.05,True,,False,True,True,True,True,5.16,True,True,True,False,219.42,219.75,214.71,230.04,4.84,2.15,2.25,21,4607.82,WEAK,37.2
KO,78.42,-0.01,0.77,16123075.0,56.9,0.2072,False,77.52,76.69,1.16,21.1,27.8,1.31,81.44,True,,False,True,False,True,False,0.18,True,True,False,False,78.54,78.66,78.12,81.69,4.01,0.53,7.5,238,18692.52,WEAK,35.6
ACN,180.42,0.13,0.57,9998062.0,42.6,0.3204,False,183.49,195.37,-1.67,29.5,91.6,6.89,321.36,False,Hammer,False,False,False,False,False,-1.2,True,True,False,False,180.69,180.96,176.81,189.44,4.84,2.15,2.26,25,4517.25,WEAK,35.1
LRCX,294.05,2.63,0.76,11897725.0,65.9,2.5874,False,265.2,247.6,10.88,19.5,66.0,13.01,298.0,True,,False,False,True,True,False,3.21,True,True,True,False,294.49,294.93,288.17,308.75,4.84,2.15,2.26,15,4417.35,WEAK,34.7
